Lea State,LEA,ID,Year,Category,Allegations,American Indian or Alaska Native,Asian or Pacific Islander,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
UT,SALT LAKE DISTRICT,4900870,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,SALT LAKE DISTRICT,4900870,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SALT LAKE DISTRICT,4900870,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SALT LAKE DISTRICT,4900870,2011,Total enrollment,,368,,1075,1115,10255,1089,10966,516,25384,3467,184,4893
UT,GRAND DISTRICT,4900330,2011,Allegations - basis of disability,2,,,,,,,,,,,,
UT,GRAND DISTRICT,4900330,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,GRAND DISTRICT,4900330,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,4,0,4,0,0,0
UT,GRAND DISTRICT,4900330,2011,Total enrollment,,97,,18,6,226,8,1223,13,1591,203,11,127
UT,JOHN HANCOCK CHARTER SCHOOL,4900014,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,JOHN HANCOCK CHARTER SCHOOL,4900014,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,JOHN HANCOCK CHARTER SCHOOL,4900014,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,JOHN HANCOCK CHARTER SCHOOL,4900014,2011,Total enrollment,,0,,10,4,7,0,163,4,188,26,7,0
UT,ALPINE DISTRICT,4900030,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,ALPINE DISTRICT,4900030,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,2,0,2,0,4,0,0,0
UT,ALPINE DISTRICT,4900030,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ALPINE DISTRICT,4900030,2011,Total enrollment,,379,,691,878,6244,536,59822,747,69297,6952,411,3740
UT,OGDEN DISTRICT,4900720,2011,Allegations - basis of disability,32,,,,,,,,,,,,
UT,OGDEN DISTRICT,4900720,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,18,4,13,0,35,0,0,2
UT,OGDEN DISTRICT,4900720,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,21,2,15,0,38,2,0,2
UT,OGDEN DISTRICT,4900720,2011,Total enrollment,,152,,119,72,5869,198,5804,193,12407,361,18,57
UT,ODYSSEY CHARTER SCHOOL,4900021,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,ODYSSEY CHARTER SCHOOL,4900021,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ODYSSEY CHARTER SCHOOL,4900021,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,ODYSSEY CHARTER SCHOOL,4900021,2011,Total enrollment,,0,,13,7,37,2,421,19,499,59,4,7
UT,SEVIER DISTRICT,4900930,2011,Allegations - basis of disability,5,,,,,,,,,,,,
UT,SEVIER DISTRICT,4900930,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,6,0,6,0,0,0
UT,SEVIER DISTRICT,4900930,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,6,0,6,4,0,0
UT,SEVIER DISTRICT,4900930,2011,Total enrollment,,167,,23,26,217,37,4326,39,4835,673,15,110
UT,RENAISSANCE ACADEMY,4900038,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,RENAISSANCE ACADEMY,4900038,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,RENAISSANCE ACADEMY,4900038,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,RENAISSANCE ACADEMY,4900038,2011,Total enrollment,,0,,13,4,28,7,586,13,651,44,7,16
UT,SALT LAKE SCHOOL FOR THE PERFORMING ARTS,4900050,2011,Allegations - basis of disability,0,,,,,,,,,,,,
UT,SALT LAKE SCHOOL FOR THE PERFORMING ARTS,4900050,2011,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SALT LAKE SCHOOL FOR THE PERFORMING ARTS,4900050,2011,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,SALT LAKE SCHOOL FOR THE PERFORMING ARTS,4900050,2011,Total enrollment,,2,,2,4,4,2,175,34,223,2,10,0
UT,FAST FORWARD HIGH,4900019,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,FAST FORWARD HIGH,4900019,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,FAST FORWARD HIGH,4900019,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,FAST FORWARD HIGH,4900019,2015,Total enrollment,,4,,2,0,52,4,184,2,248,53,0,4
UT,AMERICAN INTERNATIONAL SCHOOL OF UTAH,4900172,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,AMERICAN INTERNATIONAL SCHOOL OF UTAH,4900172,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,AMERICAN INTERNATIONAL SCHOOL OF UTAH,4900172,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,AMERICAN INTERNATIONAL SCHOOL OF UTAH,4900172,2015,Total enrollment,,10,,25,4,160,22,928,34,1183,173,28,25
UT,TUACAHN HIGH SCHOOL FOR THE PERFORMING ARTS,4900012,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,TUACAHN HIGH SCHOOL FOR THE PERFORMING ARTS,4900012,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,TUACAHN HIGH SCHOOL FOR THE PERFORMING ARTS,4900012,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,TUACAHN HIGH SCHOOL FOR THE PERFORMING ARTS,4900012,2015,Total enrollment,,4,,4,7,22,7,328,4,376,35,0,0
UT,VALLEY ACADEMY,4900158,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,VALLEY ACADEMY,4900158,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,VALLEY ACADEMY,4900158,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,VALLEY ACADEMY,4900158,2015,Total enrollment,,2,,0,0,43,2,301,7,355,59,0,7
UT,CANYON GROVE ACADEMY,4900143,2015,Allegations - basis of disability,3,,,,,,,,,,,,
UT,CANYON GROVE ACADEMY,4900143,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,CANYON GROVE ACADEMY,4900143,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,2,0,2,0,0,0
UT,CANYON GROVE ACADEMY,4900143,2015,Total enrollment,,10,,16,25,40,7,274,10,382,59,7,7
UT,BEAVER DISTRICT,4900060,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,BEAVER DISTRICT,4900060,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,BEAVER DISTRICT,4900060,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,BEAVER DISTRICT,4900060,2015,Total enrollment,,8,,13,9,215,4,1339,13,1601,237,0,56
UT,EMERY DISTRICT,4900270,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,EMERY DISTRICT,4900270,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,EMERY DISTRICT,4900270,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,EMERY DISTRICT,4900270,2015,Total enrollment,,22,,8,4,185,8,2074,18,2319,494,23,79
UT,SOUTH SUMMIT DISTRICT,4900990,2015,Allegations - basis of disability,38,,,,,,,,,,,,
UT,SOUTH SUMMIT DISTRICT,4900990,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,4,2,7,2,15,2,0,0
UT,SOUTH SUMMIT DISTRICT,4900990,2015,Students reported to have been harassed or bullied on basis of disability,,2,,0,0,10,0,19,2,33,2,0,2
UT,SOUTH SUMMIT DISTRICT,4900990,2015,Total enrollment,,8,,2,2,205,8,1372,14,1611,218,4,79
UT,NEBO DISTRICT,4900630,2015,Allegations - basis of disability,0,,,,,,,,,,,,
UT,NEBO DISTRICT,4900630,2015,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,NEBO DISTRICT,4900630,2015,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,NEBO DISTRICT,4900630,2015,Total enrollment,,124,,151,284,3593,220,27859,520,32751,4985,612,1021
UT,UTAH COUNTY ACADEMY OF SCIENCE (UCAS),4900020,2013,Allegations - basis of disability,0,,,,,,,,,,,,
UT,UTAH COUNTY ACADEMY OF SCIENCE (UCAS),4900020,2013,Disciplined for harassment or bullying on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
UT,UTAH COUNTY ACADEMY OF SCIENCE (UCAS),4900020,2013,Students reported to have been harassed or bullied on basis of disability,,0,,0,0,0,0,0,0,0,0,0,0
